Episode 221, Reward:352.82, Noise:0.644, epsilon: 0.896, aloss:-156.592, closs: 55.285, time: 1.34
Episode 222, Reward:341.88, Noise:0.642, epsilon: 0.895, aloss:-157.884, closs: 45.458, time: 1.40
Episode 223, Reward:178.05, Noise:0.641, epsilon: 0.895, aloss:-158.669, closs: 45.645, time: 0.67
Episode 224, Reward:366.40, Noise:0.640, epsilon: 0.894, aloss:-156.633, closs: 55.725, time: 1.39
Episode 225, Reward:357.91, Noise:0.639, epsilon: 0.894, aloss:-155.650, closs: 54.016, time: 1.32
Episode 226, Reward:359.58, Noise:0.637, epsilon: 0.894, aloss:-155.454, closs: 48.816, time: 1.32
Episode 227, Reward:337.38, Noise:0.636, epsilon: 0.893, aloss:-156.213, closs: 48.385, time: 1.30
Episode 228, Reward:356.22, Noise:0.635, epsilon: 0.893, aloss:-157.507, closs: 45.167, time: 1.27
Episode 229, Reward:353.49, Noise:0.634, epsilon: 0.892, aloss:-157.702, closs: 51.662, time: 1.38
Episode 230, Reward:195.26, Noise:0.632, epsilon: 0.892, aloss:-157.797, closs: 45.547, time: 0.71
Episode 231, Reward:344.59, Noise:0.631, epsilon: 0.891, aloss:-159.222, closs: 52.446, time: 1.39
Episode 232, Reward:257.20, Noise:0.630, epsilon: 0.891, aloss:-156.532, closs: 58.080, time: 0.92
Episode 233, Reward:352.82, Noise:0.628, epsilon: 0.890, aloss:-156.876, closs: 46.740, time: 1.33
Episode 234, Reward:350.36, Noise:0.627, epsilon: 0.890, aloss:-158.562, closs: 44.972, time: 1.42
Episode 235, Reward:196.06, Noise:0.626, epsilon: 0.890, aloss:-159.395, closs: 40.903, time: 0.71
Episode 236, Reward:85.73, Noise:0.625, epsilon: 0.889, aloss:-160.342, closs: 49.074, time: 0.34
Episode 237, Reward:209.69, Noise:0.623, epsilon: 0.889, aloss:-157.748, closs: 72.850, time: 0.73
Episode 238, Reward:167.85, Noise:0.622, epsilon: 0.888, aloss:-155.940, closs: 44.991, time: 0.55
Episode 239, Reward:357.15, Noise:0.621, epsilon: 0.888, aloss:-157.773, closs: 50.030, time: 1.30
Episode 240, Reward:97.54, Noise:0.620, epsilon: 0.887, aloss:-157.973, closs: 61.381, time: 0.36
Episode 241, Reward:289.78, Noise:0.618, epsilon: 0.887, aloss:-157.859, closs: 52.065, time: 1.07
Episode 242, Reward:359.75, Noise:0.617, epsilon: 0.886, aloss:-156.743, closs: 54.175, time: 1.29
Episode 243, Reward:133.76, Noise:0.616, epsilon: 0.886, aloss:-155.880, closs: 49.973, time: 0.49
Episode 244, Reward:356.08, Noise:0.615, epsilon: 0.886, aloss:-155.301, closs: 55.301, time: 1.28
Episode 245, Reward:353.25, Noise:0.614, epsilon: 0.885, aloss:-154.668, closs: 50.581, time: 1.28
Episode 246, Reward:88.75, Noise:0.612, epsilon: 0.885, aloss:-155.166, closs: 54.978, time: 0.28
Episode 247, Reward:347.52, Noise:0.611, epsilon: 0.884, aloss:-155.096, closs: 50.553, time: 1.23
Episode 248, Reward:358.82, Noise:0.610, epsilon: 0.884, aloss:-155.727, closs: 41.835, time: 1.22
